DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.781344,532,0.781344,529,0.781344,529,0.781344,529
0.78136,533,0.78136,529,0.78136,529,0.78136,529
0.781375,533,0.781375,529,0.781375,529,0.781375,529
0.781391,533,0.781391,530,0.781391,530,0.781391,530
0.781406,533,0.781406,530,0.781406,530,0.781406,530
0.781421,533,0.781421,530,0.781421,530,0.781421,530
0.781437,533,0.781437,530,0.781437,530,0.781437,530
0.781452,533,0.781452,530,0.781452,530,0.781452,530
0.781467,533,0.781467,530,0.781467,530,0.781467,530
0.781483,533,0.781483,530,0.781483,530,0.781483,530
0.781498,533,0.781498,530,0.781498,530,0.781498,530
0.781513,533,0.781513,530,0.781513,530,0.781513,530
0.781529,533,0.781529,530,0.781529,531,0.781529,531
0.781544,533,0.781544,531,0.781544,531,0.781544,531
0.78156,533,0.78156,531,0.78156,531,0.78156,531
0.781575,533,0.781575,531,0.781575,531,0.781575,531
0.78159,533,0.78159,531,0.78159,531,0.78159,531
0.781606,533,0.781606,531,0.781606,531,0.781606,531
0.781621,533,0.781621,531,0.781621,531,0.781621,531
0.781636,533,0.781636,531,0.781636,531,0.781636,531
0.781652,533,0.781652,531,0.781652,531,0.781652,531
0.781667,533,0.781667,531,0.781667,531,0.781667,531
0.781682,533,0.781682,531,0.781682,532,0.781682,532
0.781698,533,0.781698,531,0.781698,532,0.781698,532
0.781713,532,0.781713,532,0.781713,532,0.781713,532
0.781729,532,0.781729,532,0.781729,532,0.781729,532
0.781744,533,0.781744,532,0.781744,532,0.781744,532
